Date,Open,High,Low,Close,Volume
5/18/2012,123.27,124.44,123.11,124.2,10137901
5/21/2012,123.9,124.45,123.62,123.94,9585766
5/22/2012,122.75,122.88,122.06,122.56,12476766
5/23/2012,123.55,124.52,123.36,123.41,11744890
5/24/2012,123.23,123.79,122.75,122.94,10257193
5/25/2012,123.43,123.54,123.14,123.4,4723541
5/29/2012,123.39,123.81,123,123.02,5874172
5/30/2012,125.32,126.32,125.3,126.14,17171368
5/31/2012,127.03,129.08,126.67,127.6,31176344
6/1/2012,128.87,130.38,128.53,130.36,23526832
6/4/2012,129.31,130.18,128.94,129.33,11681948
6/5/2012,128.53,128.64,127.59,127.6,12483509
6/6/2012,127.56,127.6,125.05,125.05,20808310
6/7/2012,124.65,125.74,124.39,125.24,18901312
6/8/2012,126.75,126.95,124.57,125.21,11239640
6/11/2012,124.79,126.21,124.77,125.78,10693793
6/12/2012,124.97,125.63,124.5,124.63,10921679
6/13/2012,124.85,126.28,124.38,125.86,11100169
6/14/2012,125.95,126.28,125.19,125.7,7688149
6/15/2012,126.58,126.85,126.14,126.4,6421386
6/18/2012,127.15,127.34,126.26,127.08,6698323
6/19/2012,126.28,126.37,125.33,125.42,8233200
6/20/2012,124.58,126.51,124.09,126.04,13721109
6/21/2012,125.95,127.25,125.89,126.71,9777395
6/22/2012,125.9,126.22,125.01,125.02,7830552
6/25/2012,126.36,127.02,126.27,126.84,6114752
6/26/2012,126.11,126.95,125.94,126.34,5359664
6/27/2012,126.56,126.79,126.03,126.54,5860922
6/28/2012,127.3,127.48,126.79,126.85,5257890
6/29/2012,125.03,125.63,124.63,125.2,8882175
7/2/2012,125.45,127.21,125.37,126.22,7818429
7/3/2012,125.95,126,125.21,125.25,5773778
7/5/2012,125.35,126.32,125.25,125.89,5977153
7/6/2012,126.67,127.21,126.61,127.06,5819078
7/9/2012,127.38,128.26,127.11,128.18,5646969
7/10/2012,127.86,128.74,127.72,128.44,4288087
7/11/2012,128.59,129.47,128.26,128.6,5960873
7/12/2012,129.05,129.56,128.9,129.51,6421874
7/13/2012,129.23,129.24,128.6,129.17,4175473
7/16/2012,130.3,130.61,129.61,129.77,5283451
